isbn13,isbn10,title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count
978000712087,0007120877,they do it with mirrors,,agatha christie,american fiction,a man is shot at in a juvenile reform home  but someone else dies miss marple senses danger when she visits a friend living in a victorian mansion which doubles as a rehabilitiation centre for delinquents her fears are confirmed when a youth fires a revolver at the administrator lewis serrocold neither is injured but a mysterious visitor mr gilbrandsen is less fortunate  shot dead simultaneously in another part of the building pure coincidence miss marple thinks not and vows to discover the real reason for mr gilbrandsens visit,2002.0,3.75,284.0,415.0
978000712096,0007120966,a murder is announced,,agatha christie,detective and mystery stories english,the villagers of chipping cleghorn are amazed by an advertisement in the local paper which reads a murder is announced and will take place on friday october 29th at little paddocks at 630pm unable to resist a crowd begins to gather at the house at the appointed time but when a man is killed in what looks like an attempted robbery miss marple becomes involved,2002.0,3.98,382.0,680.0
978000712098,0007120982,the mirror crackd from side to side,,agatha christie,marple jane fictitious character,one minute silly heather badcock had been gabbling on at her movie idol the glamorous marina gregg the next heather suffered a massive seizure but for whom was the deadly poison really intended marina s frozen expression suggested she had witnessed something horrific but while others searched for material evidence jane marple conducted a very different investigation into human nature,2002.0,3.91,351.0,23249.0
978000712100,0007121008,mrs mcgintys dead,,agatha christie,belgians,an old widow is brutally killed in the parlour of her cottage mrs mcginty died from a brutal blow to the back of her head suspicion fell immediately on her shifty lodger james bentley whose clothes revealed traces of the victims blood and hair yet something was amiss bentley just didnt look like a murderer poirot believed he could save the man from the gallows  what he didnt realise was that his own life was now in great danger,2002.0,3.83,328.0,525.0
978000712101,0007121016,taken at the flood,,agatha christie,fiction,a few weeks after marrying an attractive young widow gordon cloade is tragically killed by a bomb blast in the london blitz overnight the former mrs underhay finds herself in sole possession of the cloade family fortune shortly afterwards hercule poirot receives a visit from the dead man s sisterinlaw who claims she has been warned by spirits that mrs underhay s first husband is still alive poirot has his suspicions when he is asked to find a missing person guided only by the spirit world yet what mystifies poirot most is the woman s true motive for approaching him,2002.0,3.71,352.0,8852.0
978000712102,0007121024,the hollow,,agatha christie,detective and mystery stories,lucy angkatell invited hercule poirot to lunch to tease the great detective her guests stage a mock murder beside the swimming pool unfortunately the victim plays the scene for real as his blood drips into the water john christow gasps one final word henrietta  in the confusion a gun sinks to the bottom of the pool poirot s enquiries reveal a complex web of romantic attachments it seems everyone in the drama is a suspect and each a victim of love,2002.0,3.79,384.0,13022.0
978000712110,0007121105,third girl,,agatha christie,belgians,a perplexed girl thinks she might have killed someone three single girls shared the same london flat the first worked as a secretary the second was an artist the third who came to poirot for help disappeared convinced she was a murderer now there were rumours of revolvers flickknives and blood stains but without hard evidence it would take all poirots tenacity to establish whether the third girl was guilty innocent or insane,2002.0,3.62,365.0,13705.0
978000712258,0007122586,the secret of chimneys,,agatha christie,battle superintendent fictitious character,a young drifter finds more than he bargained for when he agrees to deliver a parcel to an english country house,2001.0,3.86,400.0,11110.0
978000712401,0007124015,the lord of the rings,,j r r tolkien,baggins frodo fictitious character,sauron has gathered the rings of power  the means by which he will be able to rule the world all he needs now is the ruling ring which has fallen into the hands of the hobbit bilbo baggins frodo baggins is entrusted to foil saurons plans,2001.0,4.49,1546.0,187.0
978000712690,0007126905,the metaphysical club,,louis menand,cambridge mass,in an absorbing narrative about personalities and social history menand discusses the metaphysical club an informal group that met in cambridge massachusetts in 1872 to talk about ideas members included oliver wendell holmes jr william james and charles sanders peirce 21 photos,2002.0,4.07,560.0,3311.0
